id,title,genres,averageRating,numVotes,releaseYear
tt0111341,Satantango,Drama,8.2,13283,1994
tt19811010,"The Remarkable Life of Ibelin","Animation, Biography, Documentary",8.2,12371,2024
tt0052600,"Ballad of a Soldier","Drama, Romance, War",8.2,11812,1959
tt0058604,"I Am Cuba",Drama,8.2,11480,1964
tt0075404,"The Ascent","Drama, War",8.2,11133,1977
tt0076727,"Office Romance","Comedy, Drama, Romance",8.2,11043,1977
tt11396310,"Viduthalai: Part 1","Action, Crime, Drama",8.2,11028,2023
tt34956443,"Ne Zha 2","Action, Adventure, Animation",8.2,10878,2025
tt3153634,Hope,Drama,8.2,10784,2013
tt0843326,Bommarillu,"Comedy, Drama, Romance",8.2,10495,2006
tt0059527,"The Shop on Main Street","Drama, War",8.2,10148,1965
